0.000000,0.000000,0.000000
0.028868,0.028868,0.028868
0.057735,0.057735,0.057735
0.086603,0.086603,0.086603
0.115470,0.115470,0.115470
0.144338,0.144338,0.144338
0.173205,0.173205,0.173205
0.202073,0.202073,0.202073
0.230940,0.230940,0.230940
0.259808,0.259808,0.259808
0.288675,0.288675,0.288675
0.317543,0.317543,0.317543
0.346410,0.346410,0.346410
0.375278,0.375278,0.375278
0.404145,0.404145,0.404145
0.433013,0.433013,0.433013
0.461880,0.461880,0.461880
0.490748,0.490748,0.490748
0.519615,0.519615,0.519615
0.548483,0.548483,0.548483
0.577350,0.577350,0.577350
