4.000000,5.000000
3.996053,5.125581
3.984229,5.250666
3.964575,5.374763
3.937166,5.497380
3.902113,5.618034
3.859553,5.736249
3.809654,5.851559
3.752613,5.963507
3.688656,6.071654
3.618034,6.175571
3.541026,6.274848
3.457937,6.369094
3.369094,6.457937
3.274848,6.541026
3.175571,6.618034
3.071654,6.688656
2.963507,6.752613
2.851559,6.809654
2.736249,6.859553
2.618034,6.902113
2.497380,6.937166
2.374763,6.964575
2.250666,6.984229
2.125581,6.996053
2.000000,7.000000
1.874419,6.996053
1.749334,6.984229
1.625237,6.964575
1.502620,6.937166
1.381966,6.902113
1.263751,6.859553
1.148441,6.809654
1.036493,6.752613
0.928346,6.688656
0.824429,6.618034
0.725152,6.541026
0.630906,6.457937
0.542063,6.369094
0.458974,6.274848
0.381966,6.175571
0.311344,6.071654
0.247387,5.963507
0.190346,5.851559
0.140447,5.736249
0.097887,5.618034
0.062834,5.497380
0.035425,5.374763
0.015771,5.250666
0.003947,5.125581
-0.000000,5.000000
0.003947,4.874419
0.015771,4.749334
0.035425,4.625237
0.062834,4.502620
0.097887,4.381966
0.140447,4.263751
0.190346,4.148441
0.247387,4.036493
0.311344,3.928346
0.381966,3.824429
0.458974,3.725152
0.542063,3.630906
0.630906,3.542063
0.725152,3.458974
0.824429,3.381966
0.928346,3.311344
1.036493,3.247387
1.148441,3.190346
1.263751,3.140447
1.381966,3.097887
1.502620,3.062834
1.625237,3.035425
1.749334,3.015771
1.874419,3.003947
2.000000,3.000000
2.125581,3.003947
2.250666,3.015771
2.374763,3.035425
2.497380,3.062834
2.618034,3.097887
2.736249,3.140447
2.851559,3.190346
2.963507,3.247387
3.071654,3.311344
3.175571,3.381966
3.274848,3.458974
3.369094,3.542063
3.457937,3.630906
3.541026,3.725152
3.618034,3.824429
3.688656,3.928346
3.752613,4.036493
3.809654,4.148441
3.859553,4.263751
3.902113,4.381966
3.937166,4.502620
3.964575,4.625237
3.984229,4.749334
3.996053,4.874419
4.000000,5.000000
